Post ID,gpt-4.1-mini_stance
1866241408748700019,0
1866241401731899407,0
1866241392823193658,1
1866241379686297975,0
1866241367464140818,0
1866241360766149075,0
1866241355749462082,0
1866241346089959490,1
1866241310631301235,-1
1866241298039976072,0
1866241293896048904,0
1866241286887330251,-1
1866241245347000594,0
1866241246676590908,0
1866241229878596080,0
1866241213843865911,0
1866241181497090250,0
1866241157594030152,0
1866241121157849489,1
1866241093089857590,0
1866241088148631595,0
1866241083610652684,0
1866241062676705499,0
1866241065449083228,0
1866241020251283732,0
1866241008784011393,0
1866241000949305823,-1
1866240979034108201,0
1866240976743997822,1
1866240976408265199,0
1866240977746186438,0
1866240971735728425,0
1866240956741165354,0
1866240957273792825,0
1866240942526652857,0
1866240934129885597,1
1866240924042338348,0
1866240922695946246,1
1866240874977407081,0
1866240844421832956,-1
1866240842534400119,0
1866240759197991041,1
1866240741908902233,-1
1866240737978835232,0
1866240738276643215,-1
1866240714327130335,0
1866240702184632459,0
1866240693343289792,0
1866240682740113434,0
1866240676066648253,1
1866240675169059264,1
1866240672799580555,1
1866240660400898142,-1
1866240636132958361,0
1866240609410793556,0
1866240597893292124,1
1866240600111976773,0
1866240595406061853,1
1866240571737583866,-1
1866240570642825257,0
1866240555719799062,0
1866240547502887105,0
1866240515093774764,0
1866240480796656094,1
1866240469308469393,0
1866240466653446429,0
1866240454905262175,0
1866240443156934707,-1
1866240445275091424,1
1866240440967504191,1
1866240392808591797,0
1866240381471387900,1
1866240371283615913,0
1866240356951421214,1
1866240347468120550,0
1866240343210963123,0
1866240300378640598,-1
1866240283488231580,0
1866240269936398527,0
1866240262952894553,0
1866240253167841696,0
1866240241956475288,0
1866240211807850663,0
1866240175963251080,0
1866240160062476314,0
1866240159475470602,0
1866240149115310299,-1
1866240140215292309,0
1866240098398081233,0
1866240091259043890,0
1866240086192353572,0
1866240083512135992,-1
1866240080416793077,0
1866240047827046464,0
1866240041531343197,0
1866240035449602386,0
1866239938078896260,1
1866239882324242927,0
1866239869418459233,0
1866239850875077071,1
1866239844571062468,0
1866239824417415560,0
1866239795737100386,1
1866239745703227846,0
1866239731471614339,0
1866239731841094039,0
1866239710827336111,0
1866239667689161194,0
1866239630217232470,0
1866239611996909994,0
1866239606997627071,0
1866239595760992377,1
1866239573111558391,1
1866239568103854406,-1
1866239560436375599,0
1866239548734459984,0
1866239536159670502,0
1866239527922045205,0
1866239524944146814,0
1866239488630067446,0
1866239470334611815,1
1866239462704873803,0
1866239458435084471,0
1866239421177086335,0
1866239408623558916,0
1866239406228541919,0
1866239361320132743,0
1866239346757570809,0
1866239335340941651,0
1866239306609877403,0
1866239284648239381,-1
1866239262301319626,1
1866239191132021139,1
1866239187940212878,0
1866239176913621456,0
1866239154692280623,0
1866239079479689590,1
1866239052237737999,0
1866239048270151856,0
1866239044738548217,0
1866239038136733823,0
1866239033300464033,0
1866239028887978357,-1
1866239021753438355,0
1866239007148937368,1
1866239004988907898,0
1866238988992000067,1
1866238976480158020,0
1866238912018215190,0
1866238906091389024,1
1866238892648915293,0
1866238859266199902,0
1866238827293229118,0
1866238813330379112,0
1866238794531226111,0
1866238767767458199,0
1866238714201932076,0
1866238682887328249,0
1866238665355403410,0
1866238656039542817,0
1866238651707130282,0
1866238615396716711,-1
1866238586938404954,0
1866238559222468902,0
1866238543838011478,0
1866238542071939455,0
1866238540927189331,0
1866238491752825207,0
1866238458458739048,0
1866238446022639860,-1
1866238442549456998,0
1866238391546712248,0
1866238386547159273,1
1866238378049679866,0
1866238343333486951,0
1866238326765707364,0
1866238322110087310,1
1866238279080923400,0
1866238277306704341,0
1866238273770659984,0
1866238272030249244,0
1866238263129731441,0
1866238197161669118,0
1866238151464829314,0
1866238146956218719,0
1866238102970286286,0
1866238093885317471,0
1866238075329802562,0
1866238061765374196,1
1866238059974705523,0
1866238063086588200,1
1866238021575602362,0
1866238014923657336,1
1866237989183172835,0
1866237911194353997,0
1866237904743444857,0
1866237899093463072,1
1866237893687316604,1
1866237891073937625,0
1866237871734051296,-1
1866237820332871754,0
1866237814406570360,0
1866237755774185604,0
1866237720143786403,0
1866237673997737988,0
1866237672047644725,-1
1866237667685392777,1
1866237660483776896,0
1866237633548206235,0
1866237599003873737,-1
1866237572713771438,1
1866237568578371886,0
1866237562966143399,0
1866237559057117590,0
1866237542024024483,0
1866237531097825548,0
1866237438957654279,1
1866237436969529849,1
1866237432196186403,1
1866237430006960486,0
1866237400520765841,0
1866237395613499727,0
1866237380346204197,0
1866237381717721444,0
1866237315531542659,0
1866237306681561206,-1
1866237282052964744,0
1866237265976217646,0
1866237248003543234,1
1866237244559798278,0
1866237203682152955,0
1866237201937310081,0
1866237174565523480,0
1866237129082253533,1
1866237127605837906,0
1866237077144195078,0
1866237027148075083,0
1866236942846951747,0
1866236935162802315,0
1866236935053963516,0
1866236916984688886,0
1866236903839998284,0
1866236897338573152,0
1866236884747452826,0
1866236879739461861,1
1866236861187867068,0
1866236851377299849,0
1866236835887808727,1
1866236830712013236,0
1866236830104064367,0
1866236829864710273,0
1866236760986185998,0
1866236752358441121,0
1866236728735916079,0
1866236723572969676,0
1866236713376641288,-1
1866236710507692426,0
1866236705336180985,0
1866236691964395569,0
1866236686146957541,0
1866236662688211242,0
1866236641297285422,0
1866236623274250557,1
1866236607755694345,0
1866236594963059158,0
1866236578340933846,0
1866236568643719257,1
1866236520471855111,1
1866236509332119994,0
1866236501450752478,-1
1866236464075362643,1
1866236443540046218,1
1866236413475188780,0
1866236413601075507,0
1866236398656700619,0
1866236392155869233,1
1866236378893443326,0
1866236345984721309,0
1866236343757472237,0
1866236336119660581,0
1866236315705966629,1
1866236275927273756,0
1866236271846134151,1
1866236269258567986,1
1866236252208373816,1
1866236243492720813,0
1866236235066306703,-1
1866236204347240674,0
1866236195245887661,1
1866236191277748414,0
1866236191584198926,-1
1866236186588553329,0
1866236178648739892,0
1866236165570854958,0
1866236165797339220,-1
1866236140031750497,0
1866236098701394423,0
1866236082364223669,0
1866236071543013585,0
1866236001883963834,0
1866235972381557243,0
1866235957986398338,0
1866235954731905395,0
1866235934754447845,0
1866235912507510984,0
1866235884322136295,0
1866235845008830842,0
1866235785583935692,0
1866235782253437286,1
1866235781510996241,-1
1866235746832531741,0
1866235719100031205,1
1866235714087616615,0
1866235695666200875,0
1866235691329331579,0
1866235693195808933,0
1866235688787607602,0
1866235659482279964,0
1866235618763714732,0
1866235572261663015,0
1866235531019096123,0
1866235525146853753,0
1866235506046156811,0
1866235500111270315,1
1866235491571606005,0
1866235483048616444,0
1866235479219175683,0
1866235432326901874,1
1866235428690641314,0
1866235425112686863,-1
1866235399573590082,0
1866235395400208718,0
1866235354665382099,0
1866235352601559386,1
1866235324818489602,0
1866235316677296476,0
1866235306145632449,0
1866235283718484155,0
1866235271869866345,0
1866235270086967684,0
1866235264701714556,0
1866235247479738832,0
1866235248700240029,0
1866235229830066398,-1
1866235230425686122,0
1866235223299477714,0
1866235192127447050,1
1866235191381078228,0
1866235140122526063,0
1866235131553304843,0
1866235121323659277,0
1866235111152222389,0
1866235114692153417,-1
1866235079749468224,1
1866235056114528357,1
1866235028172083454,1
1866235030504104376,1
1866235025093435574,0
1866235019632452043,0
1866234991618736151,1
1866234963915358504,0
1866234962791276752,0
1866234953811238973,0
1866234950468444662,0
1866234920324284558,0
1866234890426986878,0
1866234889458327703,0
1866234877420732500,-1
1866234873834586278,0
1866234843836940601,0
1866234832872759760,0
1866234819564466526,0
1866234814849757386,1
1866234766019952651,1
1866234758885442040,1
1866234750861541775,0
1866234750517608760,0
1866234736190112210,0
1866234728594211204,0
1866234725846671523,0
1866234709505638775,0
1866234701645566124,-1
1866234686453756033,0
1866234649426718883,0
1866234603725373577,0
1866234604228612333,-1
1866234572339298309,0
1866234500453368150,0
1866234477304807931,0
1866234440084754833,0
1866234432086241713,0
1866234430957948947,1
1866234405196611657,0
1866234381968220431,0
1866234376993808826,0
1866234366638330106,0
1866234367334367352,0
1866234342516650054,0
1866234326800802128,0
1866234310564438355,0
1866234251001086387,0
1866234213642522820,0
1866234173314200029,0
1866234143916359935,0
1866234120520478789,0
1866234090459947182,1
1866234087221903568,1
1866234086697710036,0
1866234064283521427,0
1866234064883376168,0
1866234043798364314,0
1866234043638985057,0
1866234037502976320,1
1866234009157857414,0
1866234009044361401,1
1866234003612955011,1
1866234006980710455,0
1866233962634322032,0
1866233923308552490,1
1866233877913567489,0
1866233855709229117,0
1866233840391373094,1
1866233841599619388,1
1866233835752759497,1
1866233811534557595,0
1866233803267608828,1
1866233799731769561,0
1866233774217867774,0
1866233758367531137,0
1866233740348760259,0
1866233735261127109,0
1866233727438753842,0
1866233715375939674,0
1866233711911481726,0
1866233709084725426,1
1866233703044665680,0
1866233695067328756,0
1866233694702145930,0
1866233684099314169,0
1866233641786921311,1
1866233633305948369,0
1866233615043932381,1
1866233592894169478,0
1866233555178729690,0
1866233549671592300,0
1866233545984770112,0
1866233534563676557,0
1866233537084391744,0
1866233536769827181,0
1866233518419841530,0
1866233490959659057,0
1866233442817528110,0
1866233439076466791,0
1866233422534090974,0
1866233416490123546,0
1866233412236796024,0
1866233395669258521,0
1866233369794695201,0
1866233328384479300,0
1866233296860201467,1
1866233279839375398,0
1866233278220403079,0
1866233225666089052,0
1866233198981636582,0
1866233197077336400,0
1866233168212206043,0
1866233141834178658,1
1866233124390371673,0
1866233095654986081,0
1866233028327956892,1
1866233018039324872,0
1866233008912499091,-1
1866232988347855246,0
1866232982887153878,-1
1866232972338434089,1
1866232959222579518,-1
1866232933490610333,0
1866232913848885541,0
1866232891916640477,0
1866232890645745687,0
1866232852829888555,0
1866232813957329404,0
1866232810534477897,1
1866232782084567525,0
1866232766494654642,1
1866232754075291971,1
1866232718591164533,1
1866232709065986233,0
1866232705739829752,-1
1866232691504378190,0
1866232693001695627,0
1866232689025589489,0
1866232684114014399,0
1866232675507273927,0
1866232676220620819,-1
1866232665181208619,1
1866232631496757289,0
1866232615193251866,1
1866232618607689951,0
1866232592455872926,0
1866232588391887075,1
1866232581651378683,0
